# RSSI Measurement Log
# Date: 20250430_152443
# Frequency: 2400.0 MHz
# Gain: 40 dB
# Measurement	RSSI (dB)
43.5246766,-5.6341877,-86.19,0.55,13:24:46+00:00
43.5246786,-5.6341833,-86.17,0.56,13:24:51+00:00
43.5246787,-5.6341812000000004,-86.12,0.56,13:24:55+00:00
43.524679,-5.6341788,-86.19,0.56,13:24:59+00:00
43.5246794,-5.634176,-86.19,0.58,13:25:03+00:00
43.5246804,-5.6341711,-86.21,0.57,13:25:07+00:00
43.524683,-5.6341674,-82.59,0.55,13:25:11+00:00
43.5246856,-5.6341673,-86.21,0.56,13:25:15+00:00
43.5246887,-5.6341652,-85.0,0.58,13:25:19+00:00
43.5246922,-5.6341616,-81.5,0.58,13:25:23+00:00
43.5246954,-5.6341554,-4.36,0.58,13:25:27+00:00
43.5246978,-5.6341532999999995,-4.36,0.58,13:25:31+00:00
43.5246988,-5.6341523,-4.36,0.57,13:25:35+00:00
43.5246995,-5.634155,-71.1,0.6,13:25:39+00:00
43.5246984,-5.6341583,-70.83,0.57,13:25:43+00:00
43.5246995,-5.6341604,-70.72,0.58,13:25:47+00:00
43.5247017,-5.6341618,-70.87,0.58,13:25:51+00:00
43.5246998,-5.6341617,-70.72,0.61,13:25:55+00:00
43.5246989,-5.6341661,-70.83,0.52,13:25:59+00:00
43.5247002,-5.6341733000000005,-70.91,0.61,13:26:03+00:00
43.5247012,-5.6341762,-70.8,0.53,13:26:07+00:00
43.5247014,-5.6341773,-70.75,0.6,13:26:11+00:00
43.5247002,-5.6341762,-70.79,0.65,13:26:15+00:00
