# RSSI Measurement Log
# Date: 2026-03-24_12-33-35
# Frequency: 433.0 MHz
# Gain: 50 dB
# Measurement	RSSI (dB)
Latitude	Longitude	Level	HDOP	Timestamp	Temperature
43.5242759,-5.6353157,-52.46,0.78,10:04:41+00:00,31.6
43.5243085,-5.635434,-63.01,0.96,10:04:53+00:00,32.6
43.5243151,-5.6353966,-5.25,0.96,10:04:58+00:00,33.1
43.5243295,-5.63536,-6.82,0.96,10:05:03+00:00,32.6
43.5243161,-5.6353914,-9.4,0.99,10:05:08+00:00,32.6
43.5243082,-5.6354283,-19.45,1.32,10:05:13+00:00,34.1
43.5242909,-5.6354055,-39.47,1.32,10:05:18+00:00,33.6
43.5242636,-5.635422,-37.47,1.14,10:05:23+00:00,33.1
43.5242667,-5.6354125,-37.38,1.14,10:05:28+00:00,34.1
43.5242429,-5.6353949,-41.61,1.14,10:05:33+00:00,33.6
43.5242092,-5.6354075,-41.02,1.14,10:05:38+00:00,35.0
43.5241846,-5.6354573,-17.07,1.08,10:05:43+00:00,34.6
43.5241528,-5.6354683,-17.28,1.08,10:05:48+00:00,35.0
43.5241756,-5.6354331,-11.52,1.08,10:05:53+00:00,35.0
43.5241935,-5.6354763,-16.16,1.08,10:05:58+00:00,35.0
43.5242274,-5.6354684,-26.15,0.83,10:06:03+00:00,35.0
43.5242907,-5.6353358,-32.02,0.86,10:06:08+00:00,36.0
43.5243367,-5.6353324,-30.98,0.83,10:06:13+00:00,35.5
43.5243524,-5.6353731,-38.42,0.86,10:06:18+00:00,35.0
43.5243489,-5.6354784,-35.18,0.86,10:06:23+00:00,35.0
43.5243749,-5.6355559,-35.14,0.88,10:06:28+00:00,35.0
43.5243936,-5.635637,-39.17,0.83,10:06:33+00:00,36.5
43.5244039,-5.6356774000000005,-42.62,0.75,10:06:38+00:00,36.0
43.5244033,-5.6357213,-43.91,0.76,10:06:43+00:00,37.0
43.5244225,-5.6357801,-43.05,0.76,10:06:48+00:00,36.0
43.5244568,-5.6358356,-38.68,0.67,10:06:53+00:00,36.0
43.5244724,-5.635911,-48.21,0.74,10:06:58+00:00,36.0
43.524496,-5.6359613,-44.84,0.74,10:07:03+00:00,37.0
43.5245295,-5.6360403,-55.16,0.74,10:07:08+00:00,36.5
